Candidate_ID,Job_ID,Job_Title,Department,Job_Posted_Date,Application_Date,Screening_Date,Interview_Date,Offer_Date,Offer_Accepted_Date,Joining_Date,Year,Advertising_Cost,Agency_Fees,Interview_Costs,Relocation_Costs,Onboarding_Cost,Total_Cost_Per_Candidate,Days_JobPost_to_Application,Days_Application_to_Screening,Days_Screening_to_Interview,Days_Interview_to_Offer,Days_Offer_to_Acceptance,Days_Acceptance_to_Joining,Requistion days,Total_Days_Per_Candidate
NT0024,NTDE099,DevOps Engineer,Software & Development,07-01-2018,15-01-2018,29-01-2018,10-02-2018,25-02-2018,05-03-2018,03-05-2018,2018,302,496,598,1138,69273,71807,8,14,12,15,8,59,57,116
NT0030,NTBA054,Business Reporting Associate,Data & Analytics,07-01-2018,12-01-2018,23-01-2018,02-02-2018,12-02-2018,20-02-2018,22-03-2018,2018,470,499,554,4527,56619,62669,5,11,10,10,8,30,44,74
NT0045,NTTE025,Telemarketing Executive,Marketing,07-01-2018,09-01-2018,22-01-2018,30-01-2018,13-02-2018,22-02-2018,08-04-2018,2018,306,576,541,1898,58647,61968,2,13,8,14,9,45,46,91
NT0050,NTSA001,Sales Associate,Sales,25-03-2018,27-03-2018,08-04-2018,15-04-2018,25-04-2018,05-05-2018,30-06-2018,2018,271,527,518,3596,59086,63998,2,12,7,10,10,56,41,97
NT0052,NTTS078,Telecalling Supervisor,Customer Service,25-03-2018,02-04-2018,08-04-2018,13-04-2018,19-04-2018,24-04-2018,08-07-2018,2018,388,544,638,2898,59576,64044,8,6,5,6,5,75,30,105
NT0060,NTCCE045,Customer Care Executive,Customer Service,25-03-2018,29-03-2018,07-04-2018,14-04-2018,23-04-2018,30-04-2018,13-07-2018,2018,220,438,687,1532,53072,55949,4,9,7,9,7,74,36,110
NT0066,NTDA055,Data Analyst,Data & Analytics,25-03-2018,03-04-2018,17-04-2018,02-05-2018,16-05-2018,25-05-2018,09-07-2018,2018,302,528,634,1436,61530,64430,9,14,15,14,9,45,61,106
NT0068,NTAT077,Automation Tester (Python),Data Science & AI,25-03-2018,31-03-2018,12-04-2018,24-04-2018,05-05-2018,12-05-2018,15-06-2018,2018,321,546,655,3078,50504,55104,6,12,12,11,7,34,48,82
NT0071,NTBIA078,Business Intelligence Analyst,Data & Analytics,25-03-2018,26-03-2018,06-04-2018,17-04-2018,02-05-2018,09-05-2018,24-06-2018,2018,414,574,512,4094,56214,61808,1,11,11,15,7,46,45,91
NT0077,NTDE099,DevOps Engineer,Software & Development,25-03-2018,26-03-2018,06-04-2018,20-04-2018,30-04-2018,08-05-2018,12-06-2018,2018,287,470,564,4996,61531,67848,1,11,14,10,8,35,44,79
NT0116,NTLDS010,Lead Data Scientist,Data Science & AI,01-04-2018,06-04-2018,17-04-2018,29-04-2018,12-05-2018,22-05-2018,28-06-2018,2018,299,418,631,3587,57576,62511,5,11,12,13,10,37,51,88
NT0124,NTBPO066,BPO Executive,BPO,01-04-2018,11-04-2018,26-04-2018,05-05-2018,20-05-2018,30-05-2018,22-07-2018,2018,351,584,685,4160,50823,56603,10,15,9,15,10,53,59,112
NT0125,NTHRM045,HR Manager,Human Resources,01-04-2018,10-04-2018,22-04-2018,30-04-2018,15-05-2018,22-05-2018,09-07-2018,2018,330,430,621,2416,70928,74725,9,12,8,15,7,48,51,99
NT0169,NTTM006,Telemarketing Manager,Marketing,01-04-2018,07-04-2018,17-04-2018,01-05-2018,11-05-2018,21-05-2018,10-07-2018,2018,349,589,626,4122,75029,80715,6,10,14,10,10,50,50,100
NT0185,NTDA055,Data Analyst,Data & Analytics,01-04-2018,08-04-2018,20-04-2018,01-05-2018,14-05-2018,21-05-2018,02-07-2018,2018,457,593,552,1079,68428,71109,7,12,11,13,7,42,50,92
NT0221,NTRA004,Reporting Analyst,Data & Analytics,21-04-2019,23-04-2019,06-05-2019,21-05-2019,01-06-2019,11-06-2019,10-08-2019,2019,493,579,569,3576,55133,60350,2,13,15,11,10,60,51,111
NT0232,NTSMC045,Social Media Coordinator,Marketing,21-04-2019,29-04-2019,10-05-2019,25-05-2019,09-06-2019,18-06-2019,01-08-2019,2019,391,586,694,1001,52105,54777,8,11,15,15,9,44,58,102
