Recruiter,Year,Avg_Time,Avg_Cost
A,2018,50,64365
B,2018,45,63891
C,2018,53,66566
D,2018,53,65313
A,2019,52,65503
B,2019,51,66206
C,2019,49,64860
D,2019,49,63658
A,2020,48,60718
B,2020,47,59286
C,2020,53,60958
D,2020,52,61055
A,2021,55,61653
B,2021,55,58358
C,2021,54,61309
D,2021,54,59944
A,2022,35,57478
B,2022,33,57881
C,2022,33,57430
D,2022,35,55611
A,2023,33,55778
B,2023,39,55139
C,2023,37,55504
D,2023,36,56656
A,2024,33,57493
B,2024,32,56507
C,2024,38,55787
D,2024,40,55642
A,2025,32,57561
B,2025,34,56108
C,2025,32,56712
D,2025,39,55852
